user_location,date,text,sentiment,hour,minute,Date,refined text,lowercase text,non-punctuated text,non-extraspace text,tokenized text,non-stopwords text,stemmed text
"La Crescenta-Montrose, CA",2020-12-20 06:06:00,Same folks said daikon paste could treat a cytokine storm #PfizerBioNTech https://t.co/xeHhIMg1kF,NEU,6,6,2020-12-20,Same folks said daikon paste could treat a cytokine storm  ,same folks said daikon paste could treat a cytokine storm  ,same folks said daikon paste could treat a cytokine storm  ,same folks said daikon paste could treat a cytokine storm,"['same', 'folks', 'said', 'daikon', 'paste', 'could', 'treat', 'a', 'cytokine', 'storm']","['folks', 'said', 'daikon', 'paste', 'could', 'treat', 'cytokine', 'storm']","['folk', 'said', 'daikon', 'past', 'could', 'treat', 'cytokin', 'storm']"
"San Francisco, CA",2020-12-13 16:27:00,"While the world has been on the wrong side of history this year, hopefully, the biggest vaccination effort we've ev… https://t.co/dlCHrZjkhm",NEG,16,27,2020-12-13,"While the world has been on the wrong side of history this year, hopefully, the biggest vaccination effort we've ev… ","while the world has been on the wrong side of history this year, hopefully, the biggest vaccination effort we've ev… ",while the world has been on the wrong side of history this year  hopefully  the biggest vaccination effort we ve ev  ,while the world has been on the wrong side of history this year hopefully the biggest vaccination effort we ve ev,"['while', 'the', 'world', 'has', 'been', 'on', 'the', 'wrong', 'side', 'of', 'history', 'this', 'year', 'hopefully', 'the', 'biggest', 'vaccination', 'effort', 'we', 've', 'ev']","['world', 'wrong', 'side', 'history', 'year', 'hopefully', 'biggest', 'vaccination', 'effort', 'ev']","['world', 'wrong', 'side', 'histori', 'year', 'hope', 'biggest', 'vaccin', 'effort', 'ev']"
Your Bed,2020-12-12 20:33:00,#coronavirus #SputnikV #AstraZeneca #PfizerBioNTech #Moderna #Covid_19 Russian vaccine is created to last 2-4 years… https://t.co/ieYlCKBr8P,NEU,20,33,2020-12-12,      Russian vaccine is created to last 2-4 years… ,      russian vaccine is created to last 2-4 years… ,      russian vaccine is created to last     years  ,russian vaccine is created to last years,"['russian', 'vaccine', 'is', 'created', 'to', 'last', 'years']","['russian', 'vaccine', 'created', 'last', 'years']","['russian', 'vaccin', 'creat', 'last', 'year']"
"Vancouver, BC - Canada",2020-12-12 20:23:00,"Facts are immutable, Senator, even when you're not ethically sturdy enough to acknowledge them. (1) You were born i… https://t.co/jqgV18kch4",NEU,20,23,2020-12-12,"Facts are immutable, Senator, even when you're not ethically sturdy enough to acknowledge them. (1) You were born i… ","facts are immutable, senator, even when you're not ethically sturdy enough to acknowledge them. (1) you were born i… ",facts are immutable  senator  even when you re not ethically sturdy enough to acknowledge them      you were born i  ,facts are immutable senator even when you re not ethically sturdy enough to acknowledge them you were born i,"['facts', 'are', 'immutable', 'senator', 'even', 'when', 'you', 're', 'not', 'ethically', 'sturdy', 'enough', 'to', 'acknowledge', 'them', 'you', 'were', 'born', 'i']","['facts', 'immutable', 'senator', 'even', 'ethically', 'sturdy', 'enough', 'acknowledge', 'born']","['fact', 'immut', 'senat', 'even', 'ethic', 'sturdi', 'enough', 'acknowledg', 'born']"
No Location,2020-12-12 20:17:00,Explain to me again why we need a vaccine @BorisJohnson @MattHancock #whereareallthesickpeople #PfizerBioNTech… https://t.co/KxbSRoBEHq,NEG,20,17,2020-12-12,Explain to me again why we need a vaccine     ,explain to me again why we need a vaccine     ,explain to me again why we need a vaccine     ,explain to me again why we need a vaccine,"['explain', 'to', 'me', 'again', 'why', 'we', 'need', 'a', 'vaccine']","['explain', 'need', 'vaccine']","['explain', 'need', 'vaccin']"
"Birmingham, England",2020-12-12 20:11:00,Does anyone have any useful advice/guidance for whether the COVID vaccine is safe whilst breastfeeding?… https://t.co/EifsyQoeKN,NEU,20,11,2020-12-12,Does anyone have any useful advice/guidance for whether the COVID vaccine is safe whilst breastfeeding?… ,does anyone have any useful advice/guidance for whether the covid vaccine is safe whilst breastfeeding?… ,does anyone have any useful advice guidance for whether the covid vaccine is safe whilst breastfeeding   ,does anyone have any useful advice guidance for whether the covid vaccine is safe whilst breastfeeding,"['does', 'anyone', 'have', 'any', 'useful', 'advice', 'guidance', 'for', 'whether', 'the', 'covid', 'vaccine', 'is', 'safe', 'whilst', 'breastfeeding']","['anyone', 'useful', 'advice', 'guidance', 'whether', 'covid', 'vaccine', 'safe', 'whilst', 'breastfeeding']","['anyon', 'use', 'advic', 'guidanc', 'whether', 'covid', 'vaccin', 'safe', 'whilst', 'breastfeed']"
"Austria, Ukraine and Kosovo",2020-12-12 20:06:00,"it is a bit sad to claim the fame for success of #vaccination on patriotic competition between USA, Canada, UK and… https://t.co/IfMrAyGyTP",NEU,20,6,2020-12-12,"it is a bit sad to claim the fame for success of  on patriotic competition between USA, Canada, UK and… ","it is a bit sad to claim the fame for success of  on patriotic competition between usa, canada, uk and… ",it is a bit sad to claim the fame for success of  on patriotic competition between usa  canada  uk and  ,it is a bit sad to claim the fame for success of on patriotic competition between usa canada uk and,"['it', 'is', 'a', 'bit', 'sad', 'to', 'claim', 'the', 'fame', 'for', 'success', 'of', 'on', 'patriotic', 'competition', 'between', 'usa', 'canada', 'uk', 'and']","['bit', 'sad', 'claim', 'fame', 'success', 'patriotic', 'competition', 'usa', 'canada', 'uk']","['bit', 'sad', 'claim', 'fame', 'success', 'patriot', 'competit', 'usa', 'canada', 'uk']"
No Location,2020-12-12 20:04:00,"There have not been many bright days in 2020 but here are some of the best 
1. #BidenHarris winning #Election2020… https://t.co/77u4f8XXfx",POS,20,4,2020-12-12,"There have not been many bright days in 2020 but here are some of the best 
1.  winning  ","there have not been many bright days in 2020 but here are some of the best 
1.  winning  ",there have not been many bright days in      but here are some of the best      winning  ,there have not been many bright days in but here are some of the best winning,"['there', 'have', 'not', 'been', 'many', 'bright', 'days', 'in', 'but', 'here', 'are', 'some', 'of', 'the', 'best', 'winning']","['many', 'bright', 'days', 'best', 'winning']","['mani', 'bright', 'day', 'best', 'win']"
No Location,2020-12-12 20:01:00,"Covid vaccine; You getting it?

 #CovidVaccine #covid19 #PfizerBioNTech #Moderna",NEU,20,1,2020-12-12,"Covid vaccine; You getting it?

    ","covid vaccine; you getting it?

    ",covid vaccine  you getting it       ,covid vaccine you getting it,"['covid', 'vaccine', 'you', 'getting', 'it']","['covid', 'vaccine', 'getting']","['covid', 'vaccin', 'get']"
Islamabad,2020-12-12 19:30:00,"#CovidVaccine 

States will start getting #COVID19Vaccine Monday, #US says 
#pakustv #NYC #Healthcare #GlobalGoals… https://t.co/MksOvBvs5w",NEU,19,30,2020-12-12," 

States will start getting  Monday,  says 
    "," 

states will start getting  monday,  says 
    ",   states will start getting  monday   says      ,states will start getting monday says,"['states', 'will', 'start', 'getting', 'monday', 'says']","['states', 'start', 'getting', 'monday', 'says']","['state', 'start', 'get', 'monday', 'say']"
